stage,fault_type,topology,state_before,state_after,posterior_mean,ci_05,ci_95,cell_n
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,R,C,0.012256743251993094,1.4241150876696311e-07,0.058332100016320415,12.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,R,E,0.011976658546768213,3.09741146494441e-07,0.05801035881216108,12.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,R,R,0.963580487855172,0.8830061194677773,0.9991826658720776,12.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,R,H,0.012186110346066708,2.5676256846597916e-07,0.060496697887525964,12.0
S5_SELECT,CONTROL,T1_LINEAR,C,C,0.8516286591361545,0.6849032738769835,0.9645424077654906,8.0
S5_SELECT,CONTROL,T1_LINEAR,C,E,0.082486993355405,0.008595858045430041,0.21358367522491756,8.0
S5_SELECT,CONTROL,T1_LINEAR,C,R,0.049552258479669826,0.0015210679494946965,0.15365872163732355,8.0
S5_SELECT,CONTROL,T1_LINEAR,C,H,0.016332089028770574,2.6663909185641807e-07,0.07890761133848519,8.0
S5_SELECT,CONTROL,T2_VALIDATOR,C,C,0.8526873094932784,0.6866129567436791,0.9657944100468,8.0
S5_SELECT,CONTROL,T2_VALIDATOR,C,E,0.08184075526966089,0.008626960819235339,0.21423986156760458,8.0
S5_SELECT,CONTROL,T2_VALIDATOR,C,R,0.049765448212922975,0.0014117494096595202,0.1544725871757415,8.0
S5_SELECT,CONTROL,T2_VALIDATOR,C,H,0.015706487024137687,3.1221219729225314e-07,0.07567880182384215,8.0
S5_SELECT,CONTROL,T3_SUPERVISOR,C,C,0.8524243320091882,0.6911388862610155,0.9651579957452734,8.0
S5_SELECT,CONTROL,T3_SUPERVISOR,C,E,0.08319023471917138,0.009223505705027439,0.21380525597795022,8.0
S5_SELECT,CONTROL,T3_SUPERVISOR,C,R,0.049161697988923975,0.001445127409504438,0.15821376335704213,8.0
S5_SELECT,CONTROL,T3_SUPERVISOR,C,H,0.015223735282716469,3.019216838222291e-07,0.07677682147285056,8.0
S5_SELECT,CONTROL,T4_CRITIC,C,C,0.8516596375080074,0.6850323853746058,0.9650966672937511,8.0
S5_SELECT,CONTROL,T4_CRITIC,C,E,0.08217113940119351,0.008646884981674333,0.21554706097771825,8.0
S5_SELECT,CONTROL,T4_CRITIC,C,R,0.05076663668984897,0.0014048892895882268,0.1597070006405827,8.0
S5_SELECT,CONTROL,T4_CRITIC,C,H,0.015402586400950102,3.309332564984711e-07,0.07306578266706955,8.0
S5_SELECT,CONTROL,T5_HUMAN_K0,C,C,0.8514056600613921,0.6807312117662295,0.9638865993009796,8.0
